id,pais,año,cantidad,nombre ,otros,referencia
155,Alemania,1959,2,Pfenning,RFA,4
156,Suiza,1990,0.5,Franc,,59
157,Italia,1953,5,Lire,,79
158,Francia,1967,5,Centimes,,44
159,Francia,1974,5,Centimes,,44
160,Francia,1978,5,Centimes,,44
161,Portugal,1988,10,Escudos,,39
162,Francia,1969,1,Franc,,49
163,Suecia,1970,1,Krona,,25
164,Austria,1960,1,Schilling,,64
165,Francia,1971,5,Centimes,,44
166,Francia,1986,0.5,Franc,,47
167,Francia,1978,10,Centimes,,45
168,Francia,1984,5,Centimes,,44
169,Alemania,1942,1,Reichspennig,III Reich,2
170,Noruega,1953,10,Ore,,74
171,Francia,1968,0.5,Franc,,47
172,Alemania,1971,5,Pfenning,RFA,5
173,Suiza,1960,20,Rappen,,58
174,Francia,1976,5,Centimes,,44
175,Portugal,1980,2.5,Escudos,,36
176,Alemania,1971,1,Pfenning,RFA,1
177,Francia,1967,10,Centimes,,45
178,Francia,1977,10,Centimes,,45
179,Alemania,1993,5,Pfenning,RFA,5
180,Alemania,1978,1,Pfenning,RFA,1
181,Alemania,1991,1,Mark,RFA,9
182,Alemania,1950,50,Pfenning,RFA,10
183,España,1868,2.5,Céntimos de Escudo,,
184,España,1870,5,Céntimos,,
185,España,1892,2,Pesetas,,
186,España,1949,50,Céntimos,,
187,España,1959,10,Céntimos,,
188,España,1953,1,Peseta,,
189,España,1957,5,Pesetas,,
190,España,1957,25,Pesetas,,
191,España,1963,50,Céntimos,,
,España,1966,1,Peseta,,
,España,,,,,
,España,,,,,
,España,,,,,
,España,,,,,
,España,,,,,
,España,,,,,
,España,,,,,
,España,,,,,
,España,,,,,
